Serial_No,Date,Season,Time_of_Day,Origin,Destination,Cargo_Type,Shipping_Mode,Weather,Special_Handling,Freight_Volume,Price_per_Unit,Delivery_Status
54826,2019-06-25 16:20:18.252182528,Monsoon,Afternoon,North,South,FMCG,Road,Clear,None,71.86,274.5,On Time
54827,2019-06-25 17:12:52.747727488,Monsoon,Evening,Central,West,FMCG,Air,Clear,Fragile,94.76,313.28,On Time
54828,2019-06-25 18:05:27.243272448,Monsoon,Evening,East,Central,Pharma,Air,Clear,Fragile,85.46,346.98,On Time
54829,2019-06-25 18:58:01.738817408,Monsoon,Evening,East,East,Pharma,Sea,Clear,Hazardous,58.49,235.33,On Time
54830,2019-06-25 19:50:36.234362336,Monsoon,Evening,Central,Central,Pharma,Road,Clear,None,61.51,319.95,On Time
54831,2019-06-25 20:43:10.729907296,Monsoon,Evening,East,North,Electronics,Rail,Clear,Fragile,100.66,157.39,On Time
54832,2019-06-25 21:35:45.225452256,Monsoon,Night,East,East,Automobile,Sea,Clear,Fragile,72.45,190.61,On Time
54833,2019-06-25 22:28:19.720997216,Monsoon,Night,West,South,FMCG,Sea,Clear,Perishable,83.09,166.49,On Time
54834,2019-06-25 23:20:54.216542176,Monsoon,Night,South,South,Electronics,Air,Rain,Perishable,89.74,330.61,On Time
54835,2019-06-26 00:13:28.712087136,Monsoon,Night,Central,West,FMCG,Road,Clear,None,86.02,229.83,On Time
54836,2019-06-26 01:06:03.207632096,Monsoon,Night,West,South,Agriculture,Air,Rain,Hazardous,120.12,247.69,Delayed
54837,2019-06-26 01:58:37.703177056,Monsoon,Night,West,North,Agriculture,Rail,Clear,Perishable,83.61,189.1,On Time
54838,2019-06-26 02:51:12.198721984,Monsoon,Night,West,East,FMCG,Air,Clear,Hazardous,68.2,433.53,Delayed
54839,2019-06-26 03:43:46.694266944,Monsoon,Night,East,West,Pharma,Sea,Fog,Perishable,45.86,298.76,Delayed
54840,2019-06-26 04:36:21.189811904,Monsoon,Night,Central,North,FMCG,Air,Clear,Fragile,100.02,296.97,On Time
54841,2019-06-26 05:28:55.685356864,Monsoon,Morning,East,East,FMCG,Air,Rain,Hazardous,61.54,479.69,Delayed
54842,2019-06-26 06:21:30.180901824,Monsoon,Morning,East,West,Pharma,Air,Storm,Perishable,38.12,766.87,Delayed
54843,2019-06-26 07:14:04.676446784,Monsoon,Morning,West,Central,Agriculture,Road,Clear,Hazardous,75.65,260.93,On Time
54844,2019-06-26 08:06:39.171991744,Monsoon,Morning,North,South,Agriculture,Sea,Rain,Hazardous,53.28,257.92,On Time
54845,2019-06-26 08:59:13.667536672,Monsoon,Morning,Central,South,Agriculture,Sea,Rain,Fragile,112.99,122.82,On Time
54846,2019-06-26 09:51:48.163081632,Monsoon,Morning,Central,North,Agriculture,Air,Clear,Perishable,114.82,259.02,On Time
54847,2019-06-26 10:44:22.658626592,Monsoon,Morning,West,South,Automobile,Air,Clear,Fragile,48.4,607.29,On Time
54848,2019-06-26 11:36:57.154171552,Monsoon,Morning,West,West,Electronics,Air,Clear,Hazardous,99.89,297.35,On Time
54849,2019-06-26 12:29:31.649716512,Monsoon,Afternoon,South,East,Agriculture,Air,Clear,Perishable,72.56,407.83,Cancelled
54850,2019-06-26 13:22:06.145261472,Monsoon,Afternoon,West,East,FMCG,Rail,Fog,Perishable,77.88,202.84,Delayed
54851,2019-06-26 14:14:40.640806432,Monsoon,Afternoon,East,East,Pharma,Sea,Rain,Fragile,59.97,229.62,On Time
54852,2019-06-26 15:07:15.136351360,Monsoon,Afternoon,West,East,FMCG,Air,Fog,Hazardous,90.45,328.05,Delayed
54853,2019-06-26 15:59:49.631896320,Monsoon,Afternoon,Central,East,FMCG,Road,Rain,Hazardous,79.73,247.74,Delayed
54854,2019-06-26 16:52:24.127441280,Monsoon,Afternoon,North,South,FMCG,Sea,Clear,None,92.39,149.91,On Time
54855,2019-06-26 17:44:58.622986240,Monsoon,Evening,North,East,Agriculture,Rail,Storm,Fragile,61.89,254.41,Delayed
54856,2019-06-26 18:37:33.118531200,Monsoon,Evening,East,North,Agriculture,Rail,Rain,None,84.77,186.55,On Time
54857,2019-06-26 19:30:07.614076160,Monsoon,Evening,North,South,FMCG,Air,Clear,Hazardous,86.94,341.14,On Time
54858,2019-06-26 20:22:42.109621120,Monsoon,Evening,West,East,FMCG,Rail,Clear,Perishable,106.07,149.43,On Time
54859,2019-06-26 21:15:16.605166048,Monsoon,Night,North,West,Agriculture,Air,Fog,Hazardous,91.35,324.85,Delayed
54860,2019-06-26 22:07:51.100711008,Monsoon,Night,West,Central,Electronics,Sea,Clear,Hazardous,90.33,153.29,Delayed
54861,2019-06-26 23:00:25.596255968,Monsoon,Night,South,East,Electronics,Road,Rain,None,107.39,184.52,Delayed
54862,2019-06-26 23:53:00.091800928,Monsoon,Night,Central,East,FMCG,Sea,Clear,Fragile,66.52,207.35,On Time
54863,2019-06-27 00:45:34.587345888,Monsoon,Night,East,South,Pharma,Air,Clear,None,100.62,295.22,On Time
54864,2019-06-27 01:38:09.082890848,Monsoon,Night,South,South,Electronics,Air,Clear,Perishable,107.9,275.48,On Time
54865,2019-06-27 02:30:43.578435808,Monsoon,Night,North,Central,Electronics,Sea,Clear,None,118.56,117.1,On Time
54866,2019-06-27 03:23:18.073980736,Monsoon,Night,East,North,FMCG,Rail,Clear,Hazardous,93.63,169.08,On Time
54867,2019-06-27 04:15:52.569525696,Monsoon,Night,West,North,Automobile,Sea,Rain,Fragile,54.14,253.9,Delayed
54868,2019-06-27 05:08:27.065070656,Monsoon,Morning,South,North,Electronics,Rail,Clear,Perishable,89.97,175.88,On Time
54869,2019-06-27 06:01:01.560615616,Monsoon,Morning,Central,East,Automobile,Rail,Clear,Perishable,85.81,184.31,On Time
54870,2019-06-27 06:53:36.056160576,Monsoon,Morning,Central,South,Electronics,Rail,Rain,Perishable,124.92,127.06,Cancelled
54871,2019-06-27 07:46:10.551705536,Monsoon,Morning,South,East,Pharma,Sea,Clear,Hazardous,107.46,129.08,On Time
54872,2019-06-27 08:38:45.047250496,Monsoon,Morning,South,South,FMCG,Air,Fog,None,71.8,412.09,Delayed
54873,2019-06-27 09:31:19.542795424,Monsoon,Morning,South,Central,Agriculture,Road,Clear,Fragile,116.8,169.78,On Time
54874,2019-06-27 10:23:54.038340384,Monsoon,Morning,North,North,Agriculture,Sea,Clear,None,80.17,172.48,Delayed
54875,2019-06-27 11:16:28.533885344,Monsoon,Morning,Central,North,Pharma,Road,Rain,Perishable,44.45,440.04,Delayed
54876,2019-06-27 12:09:03.029430304,Monsoon,Afternoon,Central,South,FMCG,Road,Clear,Hazardous,96.05,206.08,On Time
54877,2019-06-27 13:01:37.524975264,Monsoon,Afternoon,North,West,Pharma,Rail,Rain,None,63.08,249.69,On Time
54878,2019-06-27 13:54:12.020520224,Monsoon,Afternoon,East,South,Agriculture,Rail,Fog,Fragile,50.97,307.87,Delayed
54879,2019-06-27 14:46:46.516065184,Monsoon,Afternoon,Central,South,FMCG,Air,Rain,Hazardous,87.12,340.44,Delayed
54880,2019-06-27 15:39:21.011610112,Monsoon,Afternoon,East,West,Pharma,Sea,Rain,Perishable,66.28,208.09,Delayed
54881,2019-06-27 16:31:55.507155072,Monsoon,Afternoon,East,South,Electronics,Road,Rain,None,63.45,310.32,On Time
54882,2019-06-27 17:24:30.002700032,Monsoon,Evening,East,North,FMCG,Road,Clear,Perishable,66.01,298.46,On Time
54883,2019-06-27 18:17:04.498244992,Monsoon,Evening,Central,East,Electronics,Sea,Clear,Perishable,113.47,122.3,On Time
54884,2019-06-27 19:09:38.993789952,Monsoon,Evening,West,South,FMCG,Air,Rain,Fragile,94.82,313.09,Delayed
54885,2019-06-27 20:02:13.489334912,Monsoon,Evening,East,West,FMCG,Road,Clear,Perishable,69.2,284.9,On Time
54886,2019-06-27 20:54:47.984879872,Monsoon,Evening,West,North,Automobile,Road,Storm,Hazardous,32.77,592.24,Delayed
54887,2019-06-27 21:47:22.480424800,Monsoon,Night,North,North,Agriculture,Air,Clear,Perishable,94.69,313.51,On Time
54888,2019-06-27 22:39:56.975969760,Monsoon,Night,West,North,FMCG,Air,Rain,Perishable,88.91,333.67,Delayed
54889,2019-06-27 23:32:31.471514720,Monsoon,Night,West,Central,Pharma,Road,Clear,Fragile,73.87,267.13,Delayed
54890,2019-06-28 00:25:05.967059680,Monsoon,Night,South,East,Pharma,Sea,Clear,Hazardous,92.26,150.12,On Time
54891,2019-06-28 01:17:40.462604640,Monsoon,Night,East,West,Pharma,Rail,Rain,None,64.76,243.31,On Time
54892,2019-06-28 02:10:14.958149600,Monsoon,Night,Central,Central,FMCG,Sea,Clear,Perishable,104.71,132.44,On Time
54893,2019-06-28 03:02:49.453694560,Monsoon,Night,South,West,Pharma,Sea,Fog,None,51.51,266.62,Delayed
54894,2019-06-28 03:55:23.949239488,Monsoon,Night,West,East,FMCG,Road,Clear,Perishable,103.22,191.9,On Time
54895,2019-06-28 04:47:58.444784448,Monsoon,Night,North,South,Electronics,Air,Clear,Hazardous,118.66,250.71,Delayed
54896,2019-06-28 05:40:32.940329408,Monsoon,Morning,Central,West,Electronics,Rail,Clear,Hazardous,137.47,115.55,On Time
54897,2019-06-28 06:33:07.435874368,Monsoon,Morning,North,Central,Electronics,Road,Clear,Fragile,122.94,161.37,On Time
54898,2019-06-28 07:25:41.931419328,Monsoon,Morning,West,West,FMCG,Sea,Fog,Fragile,81.61,169.47,Delayed
54899,2019-06-28 08:18:16.426964288,Monsoon,Morning,North,East,Pharma,Air,Clear,Perishable,91.39,324.71,On Time
54900,2019-06-28 09:10:50.922509248,Monsoon,Morning,South,West,Agriculture,Air,Clear,Hazardous,67.3,439.24,On Time
54901,2019-06-28 10:03:25.418054176,Monsoon,Morning,North,South,Electronics,Road,Fog,Hazardous,85.76,230.52,Delayed
54902,2019-06-28 10:55:59.913599136,Monsoon,Morning,South,East,Electronics,Air,Clear,Hazardous,90.26,328.73,On Time
54903,2019-06-28 11:48:34.409144096,Monsoon,Morning,East,North,Agriculture,Air,Clear,Perishable,86.9,341.3,On Time
54904,2019-06-28 12:41:08.904689056,Monsoon,Afternoon,Central,Central,FMCG,Road,Storm,Hazardous,73.28,269.25,Delayed
54905,2019-06-28 13:33:43.400234016,Monsoon,Afternoon,North,South,Agriculture,Rail,Clear,Fragile,91.86,172.3,On Time
54906,2019-06-28 14:26:17.895778976,Monsoon,Afternoon,South,Central,Agriculture,Road,Clear,Perishable,105.02,188.64,On Time
54907,2019-06-28 15:18:52.391323936,Monsoon,Afternoon,West,South,Agriculture,Air,Clear,Perishable,76.69,386.15,On Time
54908,2019-06-28 16:11:26.886868864,Monsoon,Afternoon,West,North,FMCG,Road,Clear,Fragile,85.86,230.26,On Time
54909,2019-06-28 17:04:01.382413824,Monsoon,Evening,South,North,Agriculture,Air,Clear,None,92.58,320.58,On Time
54910,2019-06-28 17:56:35.877958784,Monsoon,Evening,Central,North,Electronics,Road,Clear,Fragile,96.38,205.38,On Time
54911,2019-06-28 18:49:10.373503744,Monsoon,Evening,East,South,Automobile,Rail,Fog,Fragile,56.12,280.11,Delayed
54912,2019-06-28 19:41:44.869048704,Monsoon,Evening,East,Central,Automobile,Road,Clear,Hazardous,83.43,236.88,Delayed
54913,2019-06-28 20:34:19.364593664,Monsoon,Evening,Central,West,Electronics,Air,Clear,Hazardous,139.87,212.96,Delayed
54914,2019-06-28 21:26:53.860138624,Monsoon,Night,North,Central,Pharma,Sea,Rain,Perishable,73.38,188.22,Cancelled
54915,2019-06-28 22:19:28.355683552,Monsoon,Night,South,West,Pharma,Sea,Fog,Fragile,55.89,246.09,Delayed
54916,2019-06-28 23:12:02.851228512,Monsoon,Night,East,South,Electronics,Sea,Clear,Hazardous,120.33,115.39,On Time
54917,2019-06-29 00:04:37.346773472,Monsoon,Night,Central,South,Electronics,Sea,Clear,Hazardous,117.08,118.56,On Time
54918,2019-06-29 00:57:11.842318432,Monsoon,Night,East,East,Pharma,Road,Rain,Hazardous,85.18,232.07,On Time
54919,2019-06-29 01:49:46.337863392,Monsoon,Night,East,West,Agriculture,Road,Clear,Fragile,114.44,173.25,On Time
54920,2019-06-29 02:42:20.833408352,Monsoon,Night,North,Central,Electronics,Road,Storm,Hazardous,95.34,207.6,Delayed
54921,2019-06-29 03:34:55.328953312,Monsoon,Night,East,West,Pharma,Air,Clear,None,67.56,437.57,On Time
54922,2019-06-29 04:27:29.824498240,Monsoon,Night,South,North,FMCG,Air,Clear,None,79.51,372.62,On Time
54923,2019-06-29 05:20:04.320043200,Monsoon,Morning,Central,South,FMCG,Sea,Storm,None,49.61,276.63,Delayed
54924,2019-06-29 06:12:38.815588160,Monsoon,Morning,North,North,Agriculture,Air,Clear,Fragile,78.94,375.28,Delayed
54925,2019-06-29 07:05:13.311133120,Monsoon,Morning,North,North,FMCG,Air,Clear,None,95.77,310.01,On Time
54926,2019-06-29 07:57:47.806678080,Monsoon,Morning,Central,North,FMCG,Road,Clear,Hazardous,118.06,167.98,On Time
54927,2019-06-29 08:50:22.302223040,Monsoon,Morning,South,West,Agriculture,Rail,Clear,Fragile,69.66,226.44,On Time
54928,2019-06-29 09:42:56.797768000,Monsoon,Morning,East,South,Pharma,Rail,Clear,Fragile,78.25,201.89,On Time
54929,2019-06-29 10:35:31.293312928,Monsoon,Morning,East,Central,Agriculture,Rail,Clear,Fragile,107.52,147.44,On Time
54930,2019-06-29 11:28:05.788857888,Monsoon,Morning,South,Central,Electronics,Sea,Storm,Hazardous,70.17,196.71,Delayed
54931,2019-06-29 12:20:40.284402848,Monsoon,Afternoon,West,South,Electronics,Sea,Clear,Fragile,55.65,247.13,On Time
54932,2019-06-29 13:13:14.779947808,Monsoon,Afternoon,Central,North,Automobile,Air,Clear,None,94.2,315.13,On Time
54933,2019-06-29 14:05:49.275492768,Monsoon,Afternoon,South,West,Pharma,Rail,Clear,Hazardous,62.99,250.04,Delayed
54934,2019-06-29 14:58:23.771037728,Monsoon,Afternoon,East,Central,Agriculture,Air,Clear,Hazardous,107.44,276.65,On Time
54935,2019-06-29 15:50:58.266582688,Monsoon,Afternoon,Central,South,FMCG,Air,Storm,Fragile,63.19,467.36,Delayed
54936,2019-06-29 16:43:32.762127616,Monsoon,Afternoon,Central,West,Agriculture,Rail,Clear,Fragile,103.52,153.08,On Time
54937,2019-06-29 17:36:07.257672576,Monsoon,Evening,East,South,Electronics,Air,Storm,Hazardous,60.48,487.96,Delayed
54938,2019-06-29 18:28:41.753217536,Monsoon,Evening,South,South,Automobile,Air,Clear,Perishable,75.99,389.66,Delayed
54939,2019-06-29 19:21:16.248762496,Monsoon,Evening,West,Central,Agriculture,Sea,Rain,Fragile,51.35,267.43,On Time
54940,2019-06-29 20:13:50.744307456,Monsoon,Evening,Central,West,FMCG,Sea,Clear,Perishable,97.89,141.57,Cancelled
54941,2019-06-29 21:06:25.239852416,Monsoon,Night,Central,Central,Electronics,Road,Rain,Fragile,125.33,158.32,On Time
54942,2019-06-29 21:58:59.735397376,Monsoon,Night,Central,East,FMCG,Air,Clear,Perishable,86.09,344.47,On Time
54943,2019-06-29 22:51:34.230942304,Monsoon,Night,South,South,Agriculture,Air,Rain,Perishable,76.72,386.0,Delayed
54944,2019-06-29 23:44:08.726487264,Monsoon,Night,Central,East,FMCG,Air,Clear,None,125.93,236.35,On Time
54945,2019-06-30 00:36:43.222032224,Monsoon,Night,East,South,Agriculture,Rail,Clear,Fragile,48.83,321.09,Delayed
54946,2019-06-30 01:29:17.717577184,Monsoon,Night,East,North,Pharma,Air,Clear,Fragile,88.19,336.36,On Time
54947,2019-06-30 02:21:52.213122144,Monsoon,Night,North,North,FMCG,Air,Clear,Fragile,72.59,407.66,On Time
54948,2019-06-30 03:14:26.708667104,Monsoon,Night,Central,East,Electronics,Sea,Rain,Fragile,71.25,193.77,On Time
54949,2019-06-30 04:07:01.204212064,Monsoon,Night,West,East,Electronics,Air,Clear,None,158.46,188.13,On Time
54950,2019-06-30 04:59:35.699756992,Monsoon,Night,North,North,Agriculture,Rail,Clear,Hazardous,86.42,183.02,On Time
54951,2019-06-30 05:52:10.195301952,Monsoon,Morning,Central,Central,Electronics,Air,Clear,Perishable,101.01,294.09,On Time
54952,2019-06-30 06:44:44.690846912,Monsoon,Morning,Central,East,Automobile,Road,Clear,Fragile,39.16,498.01,On Time
54953,2019-06-30 07:37:19.186391872,Monsoon,Morning,South,Central,Electronics,Air,Rain,None,82.87,357.7,On Time
54954,2019-06-30 08:29:53.681936832,Monsoon,Morning,South,North,FMCG,Rail,Clear,Perishable,78.01,202.51,Delayed
54955,2019-06-30 09:22:28.177481792,Monsoon,Morning,East,North,Pharma,Sea,Clear,Hazardous,52.77,260.37,On Time
54956,2019-06-30 10:15:02.673026752,Monsoon,Morning,North,North,Agriculture,Rail,Clear,Perishable,114.79,138.18,On Time
54957,2019-06-30 11:07:37.168571680,Monsoon,Morning,North,West,Automobile,Sea,Clear,Hazardous,71.22,193.85,On Time
54958,2019-06-30 12:00:11.664116640,Monsoon,Afternoon,North,East,Automobile,Air,Clear,None,89.76,330.54,On Time
54959,2019-06-30 12:52:46.159661600,Monsoon,Afternoon,East,North,Automobile,Road,Rain,Hazardous,73.54,268.31,On Time
54960,2019-06-30 13:45:20.655206560,Monsoon,Afternoon,West,North,Automobile,Sea,Clear,Fragile,69.22,199.37,On Time
54961,2019-06-30 14:37:55.150751520,Monsoon,Afternoon,West,West,Automobile,Rail,Rain,Hazardous,71.65,220.23,On Time
54962,2019-06-30 15:30:29.646296480,Monsoon,Afternoon,West,North,Pharma,Air,Clear,Hazardous,84.52,350.8,On Time
54963,2019-06-30 16:23:04.141841440,Monsoon,Afternoon,North,North,Automobile,Rail,Storm,Fragile,40.2,388.35,Delayed
54964,2019-06-30 17:15:38.637386368,Monsoon,Evening,Central,Central,Automobile,Sea,Rain,Hazardous,62.27,221.27,On Time
54965,2019-06-30 18:08:13.132931328,Monsoon,Evening,North,South,Pharma,Sea,Clear,Perishable,60.28,228.46,On Time
54966,2019-06-30 19:00:47.628476288,Monsoon,Evening,Central,South,Electronics,Rail,Clear,None,116.44,136.24,On Time
54967,2019-06-30 19:53:22.124021248,Monsoon,Evening,South,North,FMCG,Road,Clear,Hazardous,86.59,228.34,On Time
54968,2019-06-30 20:45:56.619566208,Monsoon,Evening,East,South,Agriculture,Air,Storm,Fragile,73.32,403.66,Cancelled
54969,2019-06-30 21:38:31.115111168,Monsoon,Night,West,East,Pharma,Air,Clear,Hazardous,96.8,306.75,On Time
54970,2019-06-30 22:31:05.610656128,Monsoon,Night,North,South,Agriculture,Sea,Clear,None,116.29,119.36,On Time
54971,2019-06-30 23:23:40.106201056,Monsoon,Night,North,East,FMCG,Air,Clear,Hazardous,77.23,383.48,On Time
54972,2019-07-01 00:16:14.601746016,Monsoon,Night,South,Central,Automobile,Rail,Clear,Hazardous,66.22,238.02,On Time
54973,2019-07-01 01:08:49.097290976,Monsoon,Night,Central,West,Pharma,Road,Clear,Hazardous,82.97,238.18,On Time
54974,2019-07-01 02:01:23.592835936,Monsoon,Night,West,Central,Automobile,Sea,Fog,Hazardous,60.78,226.61,Delayed
54975,2019-07-01 02:53:58.088380896,Monsoon,Night,East,South,Pharma,Air,Clear,Perishable,75.18,393.8,On Time
54976,2019-07-01 03:46:32.583925856,Monsoon,Night,Central,West,FMCG,Sea,Clear,Hazardous,78.2,176.77,On Time
54977,2019-07-01 04:39:07.079470816,Monsoon,Night,Central,Central,Automobile,Rail,Clear,Perishable,90.72,174.44,Cancelled
54978,2019-07-01 05:31:41.575015744,Monsoon,Morning,West,East,Pharma,Rail,Storm,None,37.53,415.26,Delayed
54979,2019-07-01 06:24:16.070560704,Monsoon,Morning,East,South,Electronics,Rail,Storm,None,88.72,178.33,Delayed
54980,2019-07-01 07:16:50.566105664,Monsoon,Morning,West,East,FMCG,Air,Rain,Fragile,62.0,476.19,Cancelled
54981,2019-07-01 08:09:25.061650624,Monsoon,Morning,West,South,Electronics,Sea,Clear,Hazardous,90.64,152.77,On Time
54982,2019-07-01 09:01:59.557195584,Monsoon,Morning,North,Central,FMCG,Air,Clear,Hazardous,81.46,363.81,Delayed
54983,2019-07-01 09:54:34.052740544,Monsoon,Morning,East,North,Agriculture,Rail,Fog,None,74.56,211.75,Delayed
54984,2019-07-01 10:47:08.548285504,Monsoon,Morning,Central,Central,Electronics,Sea,Clear,Hazardous,77.8,177.66,On Time
54985,2019-07-01 11:39:43.043830432,Monsoon,Morning,West,South,Pharma,Air,Storm,None,68.96,428.82,Delayed
54986,2019-07-01 12:32:17.539375392,Monsoon,Afternoon,South,East,Pharma,Rail,Clear,Hazardous,74.08,213.11,Delayed
54987,2019-07-01 13:24:52.034920352,Monsoon,Afternoon,East,South,Agriculture,Air,Clear,Hazardous,81.18,365.05,Delayed
54988,2019-07-01 14:17:26.530465312,Monsoon,Afternoon,South,East,Automobile,Sea,Rain,Fragile,94.78,146.17,On Time
54989,2019-07-01 15:10:01.026010272,Monsoon,Afternoon,Central,West,Agriculture,Air,Rain,Fragile,87.08,340.6,On Time
54990,2019-07-01 16:02:35.521555232,Monsoon,Afternoon,East,Central,Electronics,Rail,Rain,Perishable,117.2,135.36,On Time
54991,2019-07-01 16:55:10.017100192,Monsoon,Afternoon,North,South,Pharma,Sea,Storm,Perishable,48.47,283.0,Delayed
54992,2019-07-01 17:47:44.512645120,Monsoon,Evening,East,North,FMCG,Rail,Fog,Hazardous,54.91,286.17,Delayed
54993,2019-07-01 18:40:19.008190080,Monsoon,Evening,Central,South,Automobile,Sea,Storm,Fragile,41.11,332.46,Delayed
54994,2019-07-01 19:32:53.503735040,Monsoon,Evening,North,North,Agriculture,Sea,Storm,Fragile,83.8,165.09,Delayed
54995,2019-07-01 20:25:27.999280000,Monsoon,Evening,Central,North,Electronics,Road,Rain,Perishable,88.89,222.49,On Time
54996,2019-07-01 21:18:02.494824960,Monsoon,Night,East,South,Automobile,Rail,Rain,Hazardous,64.4,244.65,On Time
54997,2019-07-01 22:10:36.990369920,Monsoon,Night,Central,South,FMCG,Rail,Clear,Perishable,93.24,169.78,On Time
54998,2019-07-01 23:03:11.485914880,Monsoon,Night,East,South,FMCG,Sea,Clear,Perishable,74.22,186.12,On Time
54999,2019-07-01 23:55:45.981459808,Monsoon,Night,North,South,Electronics,Air,Fog,None,98.56,301.33,Delayed
55000,2019-07-02 00:48:20.477004768,Monsoon,Night,East,South,Agriculture,Sea,Clear,Fragile,73.26,188.53,Delayed
55001,2019-07-02 01:40:54.972549728,Monsoon,Night,Central,Central,Agriculture,Road,Fog,Hazardous,67.61,291.5,Delayed
55002,2019-07-02 02:33:29.468094688,Monsoon,Night,Central,North,Agriculture,Sea,Clear,Hazardous,77.77,177.73,Delayed
55003,2019-07-02 03:26:03.963639648,Monsoon,Night,Central,Central,Agriculture,Air,Clear,Hazardous,91.28,325.1,Delayed
55004,2019-07-02 04:18:38.459184608,Monsoon,Night,South,North,Pharma,Sea,Rain,Perishable,91.74,150.96,Delayed
55005,2019-07-02 05:11:12.954729568,Monsoon,Morning,South,West,FMCG,Road,Clear,Fragile,76.95,256.57,Delayed
55006,2019-07-02 06:03:47.450274496,Monsoon,Morning,South,Central,Automobile,Sea,Clear,Fragile,76.78,179.99,On Time
55007,2019-07-02 06:56:21.945819456,Monsoon,Morning,West,Central,Automobile,Air,Fog,Hazardous,53.74,548.05,Delayed
55008,2019-07-02 07:48:56.441364416,Monsoon,Morning,East,East,Electronics,Air,Fog,None,120.63,246.65,Delayed
55009,2019-07-02 08:41:30.936909376,Monsoon,Morning,South,North,Automobile,Rail,Clear,Fragile,59.92,262.64,Delayed
55010,2019-07-02 09:34:05.432454336,Monsoon,Morning,Central,South,Electronics,Rail,Clear,Perishable,86.51,182.84,On Time
55011,2019-07-02 10:26:39.927999296,Monsoon,Morning,Central,East,Pharma,Road,Clear,Perishable,85.1,232.29,On Time
55012,2019-07-02 11:19:14.423544256,Monsoon,Morning,South,North,Automobile,Sea,Fog,Hazardous,56.06,245.36,Delayed
55013,2019-07-02 12:11:48.919089184,Monsoon,Afternoon,South,West,Pharma,Rail,Clear,Perishable,63.72,247.22,On Time
55014,2019-07-02 13:04:23.414634144,Monsoon,Afternoon,Central,Central,Automobile,Sea,Clear,None,87.64,157.94,Cancelled
55015,2019-07-02 13:56:57.910179104,Monsoon,Afternoon,South,South,Agriculture,Air,Clear,None,109.6,271.25,On Time
55016,2019-07-02 14:49:32.405724064,Monsoon,Afternoon,West,Central,Agriculture,Air,Rain,None,107.61,276.22,On Time
55017,2019-07-02 15:42:06.901269024,Monsoon,Afternoon,West,South,FMCG,Sea,Clear,Hazardous,89.59,154.54,On Time
55018,2019-07-02 16:34:41.396813984,Monsoon,Afternoon,West,North,Pharma,Air,Rain,Hazardous,64.4,458.72,Delayed
55019,2019-07-02 17:27:15.892358944,Monsoon,Evening,North,East,Pharma,Sea,Storm,Perishable,60.28,228.46,Delayed
55020,2019-07-02 18:19:50.387903872,Monsoon,Evening,West,East,Automobile,Road,Rain,None,50.85,385.73,On Time
55021,2019-07-02 19:12:24.883448832,Monsoon,Evening,Central,West,Automobile,Road,Storm,Perishable,38.34,508.39,Delayed
55022,2019-07-02 20:04:59.378993792,Monsoon,Evening,North,South,Pharma,Sea,Clear,Perishable,86.59,159.84,On Time
55023,2019-07-02 20:57:33.874538752,Monsoon,Evening,Central,Central,Agriculture,Rail,Clear,Perishable,87.83,180.12,On Time
55024,2019-07-02 21:50:08.370083712,Monsoon,Night,Central,Central,Electronics,Road,Clear,None,133.81,148.36,On Time
55025,2019-07-02 22:42:42.865628672,Monsoon,Night,South,West,Agriculture,Sea,Rain,Hazardous,66.83,206.4,On Time
55026,2019-07-02 23:35:17.361173632,Monsoon,Night,East,South,FMCG,Road,Clear,Fragile,106.34,186.32,On Time
55027,2019-07-03 00:27:51.856718560,Monsoon,Night,West,West,FMCG,Air,Rain,Hazardous,81.32,364.43,On Time
55028,2019-07-03 01:20:26.352263520,Monsoon,Night,East,West,Agriculture,Air,Storm,None,63.28,466.71,Delayed
55029,2019-07-03 02:13:00.847808480,Monsoon,Night,East,Central,Electronics,Rail,Clear,Fragile,86.08,183.74,On Time
55030,2019-07-03 03:05:35.343353440,Monsoon,Night,South,East,Pharma,Sea,Clear,Fragile,58.36,235.85,On Time
55031,2019-07-03 03:58:09.838898400,Monsoon,Night,East,East,FMCG,Rail,Storm,Perishable,57.92,271.55,Delayed
55032,2019-07-03 04:50:44.334443360,Monsoon,Night,West,North,Automobile,Road,Rain,Perishable,58.92,333.78,On Time
55033,2019-07-03 05:43:18.829988320,Monsoon,Morning,North,North,Automobile,Air,Clear,Hazardous,84.98,348.92,Delayed
55034,2019-07-03 06:35:53.325533248,Monsoon,Morning,Central,East,FMCG,Road,Fog,None,83.07,237.9,Delayed
55035,2019-07-03 07:28:27.821078208,Monsoon,Morning,West,South,Electronics,Sea,Clear,Fragile,71.23,193.83,Delayed
55036,2019-07-03 08:21:02.316623168,Monsoon,Morning,South,Central,FMCG,Air,Rain,Hazardous,65.26,452.76,On Time
55037,2019-07-03 09:13:36.812168128,Monsoon,Morning,North,West,Pharma,Sea,Clear,Perishable,85.84,161.22,Delayed
55038,2019-07-03 10:06:11.307713088,Monsoon,Morning,South,North,Automobile,Rail,Clear,None,53.21,295.15,On Time
55039,2019-07-03 10:58:45.803258048,Monsoon,Morning,West,Central,Electronics,Air,Storm,Fragile,78.53,377.22,Delayed
55040,2019-07-03 11:51:20.298803008,Monsoon,Morning,Central,West,Electronics,Sea,Clear,Fragile,111.75,124.17,On Time
55041,2019-07-03 12:43:54.794347936,Monsoon,Afternoon,East,West,Electronics,Rail,Clear,Perishable,114.75,138.23,Delayed
